0011011 on processor p1cmp071.pax.tufts.edu, rank 13 out of 32 processors
0110110 on processor p1cmp071.pax.tufts.edu, rank 27 out of 32 processors
0011101 on processor p1cmp071.pax.tufts.edu, rank 14 out of 32 processors
0010100 on processor p1cmp071.pax.tufts.edu, rank 10 out of 32 processors
0101110 on processor p1cmp071.pax.tufts.edu, rank 23 out of 32 processors
0100111 on processor p1cmp071.pax.tufts.edu, rank 19 out of 32 processors
0111001 on processor p1cmp071.pax.tufts.edu, rank 28 out of 32 processors
0101000 on processor p1cmp071.pax.tufts.edu, rank 20 out of 32 processors
0100100 on processor p1cmp071.pax.tufts.edu, rank 18 out of 32 processors
0001001 on processor p1cmp071.pax.tufts.edu, rank 4 out of 32 processors
0001111 on processor p1cmp071.pax.tufts.edu, rank 7 out of 32 processors
0000101 on processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
0100010 on processor p1cmp071.pax.tufts.edu, rank 17 out of 32 processors
0110011 on processor p1cmp071.pax.tufts.edu, rank 25 out of 32 processors
0010111 on processor p1cmp071.pax.tufts.edu, rank 11 out of 32 processors
0100001 on processor p1cmp071.pax.tufts.edu, rank 16 out of 32 processors
0001100 on processor p1cmp071.pax.tufts.edu, rank 6 out of 32 processors
0000011 on processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
0111100 on processor p1cmp071.pax.tufts.edu, rank 30 out of 32 processors
0101101 on processor p1cmp071.pax.tufts.edu, rank 22 out of 32 processors
0000110 on processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
0110101 on processor p1cmp071.pax.tufts.edu, rank 26 out of 32 processors
0111010 on processor p1cmp071.pax.tufts.edu, rank 29 out of 32 processors
0001010 on processor p1cmp071.pax.tufts.edu, rank 5 out of 32 processors
0010010 on processor p1cmp071.pax.tufts.edu, rank 9 out of 32 processors
0011000 on processor p1cmp071.pax.tufts.edu, rank 12 out of 32 processors
0010001 on processor p1cmp071.pax.tufts.edu, rank 8 out of 32 processors
0101011 on processor p1cmp071.pax.tufts.edu, rank 21 out of 32 processors
0000000 on processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
0110000 on processor p1cmp071.pax.tufts.edu, rank 24 out of 32 processors
0111111 on processor p1cmp071.pax.tufts.edu, rank 31 out of 32 processors
0011110 on processor p1cmp071.pax.tufts.edu, rank 15 out of 32 processors
-0.0007200000000000262 pass 0 expec for 0100100_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 18 out of 32 processors
-0.0007200000000000262 pass 1 expec for 0100100_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 18 out of 32 processors
0.0007799999999999752 pass 0 expec for 0101000_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 20 out of 32 processors
0.0007799999999999752 pass 1 expec for 0101000_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 20 out of 32 processors
-0.0036800000000000166 pass 0 expec for 0000101_IIIIZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
-0.0026600000000000096 pass 0 expec for 0011011_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 13 out of 32 processors
-0.0036800000000000166 pass 1 expec for 0000101_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
-0.0026600000000000096 pass 1 expec for 0011011_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 13 out of 32 processors
-0.0036800000000000166 pass 2 expec for 0000101_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
-0.0026600000000000165 pass 2 expec for 0011011_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 13 out of 32 processors
-0.0036800000000000166 pass 3 expec for 0000101_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
-0.0036800000000000166 pass 4 expec for 0000101_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 2 out of 32 processors
-0.004579999999999973 pass 0 expec for 0010100_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 10 out of 32 processors
-0.004579999999999973 pass 1 expec for 0010100_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 10 out of 32 processors
0.00358 pass 0 expec for 0001010_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 5 out of 32 processors
-0.004579999999999973 pass 2 expec for 0010100_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 10 out of 32 processors
0.003820000000000004 pass 0 expec for 0110110_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 27 out of 32 processors
0.005840000000000005 pass 0 expec for 0011101_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 14 out of 32 processors
0.00358 pass 1 expec for 0001010_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 5 out of 32 processors
0.003820000000000004 pass 1 expec for 0110110_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 27 out of 32 processors
-0.0008799999999999988 pass 0 expec for 0111001_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 28 out of 32 processors
0.005840000000000005 pass 1 expec for 0011101_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 14 out of 32 processors
0.00358 pass 2 expec for 0001010_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 5 out of 32 processors
0.005839999999999998 pass 2 expec for 0011101_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 14 out of 32 processors
-0.0008800000000000058 pass 1 expec for 0111001_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 28 out of 32 processors
-0.0010199999999999931 pass 0 expec for 0100010_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 17 out of 32 processors
0.00358 pass 3 expec for 0001010_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 5 out of 32 processors
1.0 pass 0 expec for 0000000_IIIIIIZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.0010199999999999931 pass 1 expec for 0100010_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 17 out of 32 processors
-0.008099999999999996 pass 0 expec for 0010010_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 9 out of 32 processors
1.0 pass 1 expec for 0000000_IIIIIZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.008099999999999996 pass 1 expec for 0010010_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 9 out of 32 processors
0.0023400000000000087 pass 0 expec for 0100001_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 16 out of 32 processors
1.0 pass 2 expec for 0000000_IIIIZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.008099999999999996 pass 2 expec for 0010010_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 9 out of 32 processors
-0.0005999999999999894 pass 0 expec for 0110000_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 24 out of 32 processors
0.0023400000000000087 pass 1 expec for 0100001_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 16 out of 32 processors
1.0 pass 3 expec for 0000000_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.0020199999999999385 pass 0 expec for 0001001_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 4 out of 32 processors
1.0 pass 4 expec for 0000000_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.0005999999999999894 pass 1 expec for 0110000_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 24 out of 32 processors
-0.0020199999999999385 pass 1 expec for 0001001_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 4 out of 32 processors
1.0 pass 5 expec for 0000000_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.0004800000000000082 pass 0 expec for 0000011_IIIIIZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0020199999999999385 pass 2 expec for 0001001_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 4 out of 32 processors
1.0 pass 6 expec for 0000000_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 0 out of 32 processors
-0.0004800000000000082 pass 1 expec for 0000011_IIIIZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0023600000000000287 pass 0 expec for 0000110_IIIIZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
-0.0020199999999999385 pass 3 expec for 0001001_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 4 out of 32 processors
-0.0004800000000000082 pass 2 expec for 0000011_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0023600000000000287 pass 1 expec for 0000110_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
-0.0004800000000000082 pass 3 expec for 0000011_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0023600000000000287 pass 2 expec for 0000110_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
-0.0004800000000000082 pass 4 expec for 0000011_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0023600000000000287 pass 3 expec for 0000110_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
-0.0004800000000000082 pass 5 expec for 0000011_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 1 out of 32 processors
-0.0020799999999999846 pass 0 expec for 0100111_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 19 out of 32 processors
-0.0023600000000000287 pass 4 expec for 0000110_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 3 out of 32 processors
0.00358 pass 0 expec for 0010111_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 11 out of 32 processors
0.0015800000000000258 pass 0 expec for 0001100_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 6 out of 32 processors
-0.0020799999999999846 pass 1 expec for 0100111_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 19 out of 32 processors
0.00358 pass 1 expec for 0010111_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 11 out of 32 processors
-0.005600000000000001 pass 0 expec for 0001111_IIIZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 7 out of 32 processors
0.0015800000000000258 pass 1 expec for 0001100_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 6 out of 32 processors
0.005319999999999991 pass 0 expec for 0101101_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 22 out of 32 processors
0.00358 pass 2 expec for 0010111_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 11 out of 32 processors
-0.002720000000000021 pass 0 expec for 0011110_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 15 out of 32 processors
0.0015800000000000258 pass 2 expec for 0001100_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 6 out of 32 processors
0.006500000000000013 pass 0 expec for 0101011_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 21 out of 32 processors
-0.005600000000000001 pass 1 expec for 0001111_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 7 out of 32 processors
0.005320000000000012 pass 1 expec for 0101101_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 22 out of 32 processors
-0.002720000000000021 pass 1 expec for 0011110_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 15 out of 32 processors
-0.002580000000000006 pass 0 expec for 0111010_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 29 out of 32 processors
-0.0009399999999999409 pass 0 expec for 0011000_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 12 out of 32 processors
0.001579999999999998 pass 3 expec for 0001100_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 6 out of 32 processors
0.006500000000000013 pass 1 expec for 0101011_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 21 out of 32 processors
-0.005600000000000001 pass 2 expec for 0001111_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 7 out of 32 processors
-0.001439999999999983 pass 0 expec for 0110101_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 26 out of 32 processors
-0.002580000000000006 pass 1 expec for 0111010_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 29 out of 32 processors
-0.002720000000000021 pass 2 expec for 0011110_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 15 out of 32 processors
-0.0009399999999999409 pass 1 expec for 0011000_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 12 out of 32 processors
-0.005600000000000001 pass 3 expec for 0001111_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 7 out of 32 processors
-0.001439999999999983 pass 1 expec for 0110101_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 26 out of 32 processors
-0.0009399999999999409 pass 2 expec for 0011000_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 12 out of 32 processors
0.0025200000000000222 pass 0 expec for 0010001_IIZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 8 out of 32 processors
0.004899999999999995 pass 0 expec for 0101110_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 23 out of 32 processors
0.0025200000000000222 pass 1 expec for 0010001_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 8 out of 32 processors
0.004899999999999995 pass 1 expec for 0101110_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 23 out of 32 processors
0.0025200000000000222 pass 2 expec for 0010001_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 8 out of 32 processors
-0.003979999999999997 pass 0 expec for 0111100_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 30 out of 32 processors
-0.0061200000000000004 pass 0 expec for 0110011_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 25 out of 32 processors
-0.0039799999999999905 pass 1 expec for 0111100_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 30 out of 32 processors
-0.0061200000000000004 pass 1 expec for 0110011_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 25 out of 32 processors
-0.0018199999999999866 pass 0 expec for 0111111_IZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 31 out of 32 processors
-0.0018199999999999866 pass 1 expec for 0111111_ZZZZZZZ with probs from processor p1cmp071.pax.tufts.edu, rank 31 out of 32 processors
